N.,COMUNE,PROVINCIA,POPOLAZIONE,S.R.R. di COMPETENZA,R.I. (ton),R.D. (ton),R.T. (ton),% R.D.,R.C. (ton),EXTRA D.M. 2016 (ton)
314,Baucina,PALERMO,1.835,PALERMO PROVINCIA EST,"192,38","66,20","258,58","74,40%","258,58","0,00"
315,Ventimiglia di Sicilia,PALERMO,1.726,PALERMO PROVINCIA EST,"166,61","53,76","220,37","75,60%","220,37","0,00"
316,Giuliana,PALERMO,1.652,PALERMO PROVINCIA OVEST,"121,71","34,74","156,45","77,80%","156,45","0,00"
317,Geraci Siculo,PALERMO,1.673,PALERMO PROVINCIA EST,"62,08","42,75","104,82","59,22%","104,82","0,00"
318,Contessa Entellina,PALERMO,1.455,PALERMO PROVINCIA OVEST,"0,00","0,00","0,00","0,00%","0,00","0,00"
319,San Mauro Castelverde,PALERMO,1.293,PALERMO PROVINCIA EST,"78,71","43,20","121,91","64,56%","121,91","0,00"
320,Isnello,PALERMO,1.346,PALERMO PROVINCIA EST,"79,90","37,56","117,46","68,02%","117,46","0,00"
321,Roccamena,PALERMO,1.297,PALERMO PROVINCIA OVEST,"88,00","20,72","108,72","80,94%","108,72","0,00"
322,Bompietro,PALERMO,1.143,PALERMO PROVINCIA EST,"79,32","44,76","124,07","63,93%","124,07","0,00"
323,Ustica,PALERMO,1.312,PALERMO AREA METROPOLITANA,"130,13","18,89","149,02","87,32%","150,02","1,00"
324,Campofiorito,PALERMO,1.114,PALERMO PROVINCIA OVEST,"86,32","27,72","114,04","75,69%","114,04","0,00"
325,Aliminusa,PALERMO,1.019,PALERMO PROVINCIA EST,"61,43","20,63","82,06","74,86%","82,06","0,00"
326,Godrano,PALERMO,1.010,PALERMO PROVINCIA OVEST,"73,92","36,38","110,30","67,02%","110,30","0,00"
327,Cefalà Diana,PALERMO,977,PALERMO PROVINCIA EST,"83,93","35,64","119,57","70,19%","119,57","0,00"
328,Blufi,PALERMO,861,PALERMO PROVINCIA EST,"72,62","49,31","121,92","59,56%","121,92","0,00"
329,Santa Cristina Gela,PALERMO,991,PALERMO PROVINCIA OVEST,"31,78","5,96","37,74","84,21%","37,74","0,00"
330,Gratteri,PALERMO,839,PALERMO PROVINCIA EST,"54,48","19,00","73,48","74,14%","73,48","0,00"
331,Scillato,PALERMO,577,PALERMO PROVINCIA EST,"44,77","22,30","67,07","66,75%","67,07","0,00"
332,Campofelice di Fitalia,PALERMO,426,PALERMO PROVINCIA EST,"27,07","10,92","37,99","71,26%","37,99","0,00"
333,Sclafani Bagni,PALERMO,364,PALERMO PROVINCIA EST,"22,11","14,97","37,08","59,63%","37,08","0,00"
334,Ragusa,RAGUSA,73.778,RAGUSA PROVINCIA,"0,00","0,00","0,00","0,00%","0,00","0,00"
335,Vittoria,RAGUSA,65.714,RAGUSA PROVINCIA,"4.033,56","2.248,94","6.282,50","64,20%","6.299,80","17,30"
336,Modica,RAGUSA,53.413,RAGUSA PROVINCIA,"3.649,74","2.002,60","5.652,34","64,57%","5.652,34","0,00"
337,Comiso,RAGUSA,30.235,RAGUSA PROVINCIA,"2.431,49","1.231,27","3.662,76","66,38%","3.662,76","0,00"
338,Scicli,RAGUSA,26.781,RAGUSA PROVINCIA,"2.524,24","650,50","3.174,74","79,51%","3.174,74","0,00"
339,Pozzallo,RAGUSA,18.901,RAGUSA PROVINCIA,"1.221,03","489,07","1.710,10","71,40%","1.713,60","3,50"
340,Ispica,RAGUSA,16.518,RAGUSA PROVINCIA,"0,00","0,00","0,00","0,00%","0,00","0,00"
341,Acate,RAGUSA,10.450,RAGUSA PROVINCIA,"922,75","312,21","1.234,96","74,72%","1.235,28","0,32"
342,Santa Croce Camerina,RAGUSA,11.414,RAGUSA PROVINCIA,"1.470,14","708,70","2.178,84","67,47%","2.212,54","33,70"
343,Chiaramonte Gulfi,RAGUSA,8.000,RAGUSA PROVINCIA,"842,60","322,22","1.164,82","72,34%","1.167,88","3,06"
344,Giarratana,RAGUSA,3.038,RAGUSA PROVINCIA,"180,98","63,78","244,76","73,94%","244,76","0,00"
345,Monterosso Almo,RAGUSA,2.734,RAGUSA PROVINCIA,"209,78","53,28","263,06","79,75%","263,06","0,00"
346,Siracusa,SIRACUSA,115.636,SIRACUSA PROVINCIA,"12.447,30","12.055,15","24.502,45","50,80%","24.544,76","42,31"
347,Augusta,SIRACUSA,34.623,SIRACUSA PROVINCIA,"2.484,90","4.126,29","6.611,19","37,59%","6.611,19","0,00"
348,Avola,SIRACUSA,30.654,SIRACUSA PROVINCIA,"2.790,20","1.989,40","4.779,60","58,38%","4.779,60","0,00"
349,Lentini,SIRACUSA,21.183,SIRACUSA PROVINCIA,"1.089,27","2.081,73","3.171,00","34,35%","3.171,17","0,17"
350,Noto,SIRACUSA,24.625,SIRACUSA PROVINCIA,"1.682,20","1.974,72","3.656,92","46,00%","3.656,92","0,00"
351,Floridia,SIRACUSA,21.082,SIRACUSA PROVINCIA,"2.490,81","879,71","3.370,51","73,90%","3.370,51","0,00"
352,Pachino,SIRACUSA,22.084,SIRACUSA PROVINCIA,"1.686,82","865,15","2.551,97","66,10%","2.551,97","0,00"
353,Rosolini,SIRACUSA,20.554,SIRACUSA PROVINCIA,"1.965,93","784,42","2.750,35","71,48%","2.750,35","0,00"
354,Carlentini,SIRACUSA,16.972,SIRACUSA PROVINCIA,"3.072,96","1.286,40","4.359,36","70,49%","4.359,36","0,00"
355,Melilli,SIRACUSA,13.168,SIRACUSA PROVINCIA,"1.508,65","601,10","2.109,75","71,51%","2.109,75","0,00"
