n;comune;provincia;popolazione;s_r_r_di_competenza;r_i_ton;r_d_ton;r_t_ton;r_d;r_c_ton;extra_d_m_2016_ton;sigla_automobilistica;id_comune
121;San Cono;CATANIA;2423;CATANIA PROVINCIA SUD;241,82;74,14;315,96;76,53;315,96;0,0;CT;087040-(2016-06-06)
122;Sant'Alfio;CATANIA;1512;CATANIA AREA METROPOLITANA;116,39;43,22;159,61;72,92;159,85;0,24;CT;087046-(1948-01-01)
123;Milo;CATANIA;1026;CATANIA AREA METROPOLITANA;98,52;33,25;131,77;74,77;131,77;0,0;CT;087026-(2016-06-06)
124;Enna;ENNA;25079;ENNA PROVINCIA;2340,79;1096,16;3436,95;68,11;3436,95;0,0;EN;086009-(2016-06-06)
125;Piazza Armerina;ENNA;20529;CALTANISSETTA PROVINCIA SUD;1802,5;1156,9;2959,4;60,91;2963,35;3,96;EN;086014-(2016-06-06)
126;Nicosia;ENNA;12502;ENNA PROVINCIA;1095,68;543,7;1639,38;66,84;1639,38;0,0;EN;086012-(2016-06-06)
127;Leonforte;ENNA;12105;ENNA PROVINCIA;886,79;465,69;1352,48;65,57;1352,48;0,0;EN;086011-(2016-06-06)
128;Barrafranca;ENNA;11524;ENNA PROVINCIA;0,0;0,0;0,0;0,0;0,0;0,0;EN;086004-(2016-06-06)
129;Troina;ENNA;8320;ENNA PROVINCIA;720,27;177,32;897,59;80,24;897,59;0,0;EN;086018-(2016-06-06)
130;Agira;ENNA;7549;ENNA PROVINCIA;604,04;255,61;859,65;70,27;859,65;0,0;EN;086001-(2016-06-06)
131;Valguarnera Caropepe;ENNA;6781;ENNA PROVINCIA;526,26;206,75;733,01;71,79;733,01;0,0;EN;086019-(2016-06-06)
132;Regalbuto;ENNA;6587;ENNA PROVINCIA;398,55;204,16;602,71;66,13;602,71;0,0;EN;086016-(2016-06-06)
133;Pietraperzia;ENNA;6251;ENNA PROVINCIA;177,68;346,96;524,64;33,87;524,84;0,2;EN;086015-(2016-06-06)
134;Centuripe;ENNA;4980;ENNA PROVINCIA;234,38;145,85;380,23;61,64;380,23;0,0;EN;086007-(2016-06-06)
135;Assoro;ENNA;4748;ENNA PROVINCIA;160,6;75,23;235,83;68,1;235,83;0,0;EN;086003-(2016-06-06)
136;Villarosa;ENNA;4278;ENNA PROVINCIA;387,28;83,14;470,42;82,33;471,04;0,62;EN;086020-(2016-06-06)
137;Catenanuova;ENNA;4494;ENNA PROVINCIA;506,59;169,27;675,86;74,95;675,86;0,0;EN;086006-(2016-06-06)
138;Aidone;ENNA;4199;ENNA PROVINCIA;0,0;0,0;0,0;0,0;0,0;0,0;EN;086002-(2016-06-06)
139;Calascibetta;ENNA;3979;ENNA PROVINCIA;239,3;160,81;400,11;59,81;400,11;0,0;EN;086005-(2016-06-06)
140;Gagliano Castelferrato;ENNA;3147;ENNA PROVINCIA;234,94;148,14;383,08;61,33;383,08;0,0;EN;086010-(2016-06-06)
141;Nissoria;ENNA;2794;ENNA PROVINCIA;268,5;153,23;421,73;63,67;421,73;0,0;EN;086013-(2016-06-06)
142;Cerami;ENNA;1883;ENNA PROVINCIA;86,88;26,98;113,86;76,3;113,86;0,0;EN;086008-(2016-06-06)
143;Sperlinga;ENNA;658;ENNA PROVINCIA;0,0;0,0;0,0;0,0;0,0;0,0;EN;086017-(2016-06-06)
144;Messina;MESSINA;216918;MESSINA AREA METROPOLITANA;9517,29;6778,34;16295,63;58,4;16295,89;0,26;ME;083048-(1866-02-12)
145;Barcellona Pozzo di Gotto;MESSINA;39778;MESSINA AREA METROPOLITANA;4773,91;2168,0;6941,91;68,77;6941,91;0,0;ME;083005-(2016-06-06)
146;Milazzo;MESSINA;29830;MESSINA AREA METROPOLITANA;2535,24;1091,55;3626,79;69,9;3626,79;0,0;ME;083049-(2016-06-06)
147;Patti;MESSINA;12674;MESSINA PROVINCIA;1241,66;659,38;1901,04;65,31;1901,04;0,0;ME;083066-(2016-06-06)
148;Capo d'Orlando;MESSINA;13061;MESSINA PROVINCIA;1357,3;216,14;1573,44;86,26;1573,44;0,0;ME;083009-(2016-06-06)
149;Sant'Agata di Militello;MESSINA;12036;MESSINA PROVINCIA;0,0;0,0;0,0;0,0;0,0;0,0;ME;083084-(2016-06-06)
150;Lipari;MESSINA;12793;ISOLE EOLIE;984,0;995,64;1979,64;49,71;1979,64;0,0;ME;083041-(1861-03-17)
151;Taormina;MESSINA;10433;MESSINA AREA METROPOLITANA;72,68;976,52;1049,2;6,93;1049,2;0,0;ME;083097-(1928-11-10)
152;Giardini-Naxos;MESSINA;9377;MESSINA AREA METROPOLITANA;1363,36;652,86;2016,22;67,62;2016,22;0,0;ME;083032-(2016-06-06)
153;Santa Teresa di Riva;MESSINA;9200;MESSINA AREA METROPOLITANA;865,18;234,12;1099,3;78,7;1099,3;0,0;ME;083089-(1919-08-09)
154;Villafranca Tirrena;MESSINA;7789;MESSINA AREA METROPOLITANA;664,38;213,8;878,18;75,65;878,18;0,0;ME;083105-(1948-01-01)
155;Torregrotta;MESSINA;7243;MESSINA AREA METROPOLITANA;415,86;267,96;683,82;60,81;683,82;0,0;ME;083098-(2016-06-06)
156;Terme Vigliatore;MESSINA;7308;MESSINA AREA METROPOLITANA;446,68;198,94;645,62;69,19;645,62;0,0;ME;083106-(2016-06-06)
157;San Filippo del Mela;MESSINA;6657;MESSINA AREA METROPOLITANA;474,21;122,34;596,55;79,49;596,55;0,0;ME;083077-(2016-06-06)
158;Gioiosa Marea;MESSINA;6715;MESSINA PROVINCIA;0,0;0,0;0,0;0,0;0,0;0,0;ME;083033-(2016-06-06)
159;Rometta;MESSINA;6544;MESSINA AREA METROPOLITANA;351,85;91,1;442,95;79,43;442,95;0,0;ME;083076-(2016-06-06)
160;Tortorici;MESSINA;5523;MESSINA PROVINCIA;0,0;0,0;0,0;0,0;0,0;0,0;ME;083099-(2016-06-06)
161;Pace del Mela;MESSINA;5969;MESSINA AREA METROPOLITANA;0,0;0,0;0,0;0,0;0,0;0,0;ME;083064-(1921-05-12)
162;Brolo;MESSINA;5735;MESSINA PROVINCIA;424,43;176,66;601,09;70,61;601,09;0,0;ME;083007-(2016-06-06)
163;Acquedolci;MESSINA;5514;MESSINA PROVINCIA;645,07;144,58;789,65;81,69;789,65;0,0;ME;083107-(2016-06-06)
164;Spadafora;MESSINA;4637;MESSINA AREA METROPOLITANA;473,72;233,22;706,95;67,01;706,95;0,0;ME;083096-(1929-06-13)
165;Mistretta;MESSINA;4228;MESSINA PROVINCIA;348,48;129,6;478,08;72,89;478,08;0,0;ME;083052-(2016-06-06)
166;Santo Stefano di Camastra;MESSINA;4356;MESSINA PROVINCIA;478,19;164,3;642,49;74,43;642,49;0,0;ME;083091-(2016-06-06)
167;Santa Lucia del Mela;MESSINA;4378;MESSINA AREA METROPOLITANA;180,65;70,16;250,81;72,03;250,81;0,0;ME;083086-(1921-05-12)
168;Capri Leone;MESSINA;4388;MESSINA PROVINCIA;0,0;0,0;0,0;0,0;0,0;0,0;ME;083010-(1948-01-01)
169;Torrenova;MESSINA;4486;MESSINA PROVINCIA;658,1;148,66;806,76;81,57;806,76;0,0;ME;083108-(2016-06-06)
170;Roccalumera;MESSINA;4150;MESSINA AREA METROPOLITANA;0,0;0,0;0,0;0,0;0,0;0,0;ME;083072-(1880-07-01)
171;Saponara;MESSINA;3658;MESSINA AREA METROPOLITANA;458,51;110,54;569,05;80,57;569,05;0,0;ME;083092-(1861-03-17)
172;Francavilla di Sicilia;MESSINA;3524;MESSINA PROVINCIA;168,22;82,98;251,2;66,97;251,2;0,0;ME;083025-(2016-06-06)
173;Piraino;MESSINA;3745;MESSINA PROVINCIA;0,0;0,0;0,0;0,0;0,0;0,0;ME;083068-(2016-06-06)
174;Venetico;MESSINA;3922;MESSINA AREA METROPOLITANA;371,81;262,92;634,73;58,58;634,73;0,0;ME;083104-(1861-03-17)
175;Naso;MESSINA;3377;MESSINA PROVINCIA;341,69;85,39;427,08;80,01;429,78;2,7;ME;083060-(2016-06-06)
176;Furnari;MESSINA;4171;MESSINA AREA METROPOLITANA;497,09;126,1;623,19;79,77;623,19;0,0;ME;083028-(2016-06-06)
177;San Fratello;MESSINA;3189;MESSINA PROVINCIA;142,51;55,7;198,21;71,9;198,21;0,0;ME;083078-(1948-01-01)
178;Nizza di Sicilia;MESSINA;3483;MESSINA AREA METROPOLITANA;355,66;144,07;499,73;71,17;499,73;0,0;ME;083061-(1863-05-27)
